Rank,Nome,Avaliacao
351,BattleLore: Second Edition,7.68
352,Lords of Hellas,7.68
426,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.61
427,Firefly: The Game,7.39
502,Sheriff of Nottingham,7.08
503,Deus,7.28
184,Too Many Bones: Undertow,8.69
185,Cosmic Encounter,7.53
353,Dungeon Lords,7.36
354,Tekhenu: Obelisk of the Sun,7.73
428,Sprawlopolis,7.35
429,Spartacus: A Game of Blood and Treachery,7.47
504,Lords of Vegas,7.35
505,Shadows of Brimstone: City of the Ancients,7.97
186,Horrified,7.66
187,Darwin's Journey,8.20
355,Mission: Red Planet (Second Edition),7.41
356,Sid Meier's Civilization: The Board Game,7.38
430,Space Hulk (Third Edition),7.53
506,Junk Art,7.38
507,Shadows over Camelot,7.10
188,Railways of the World,7.67
357,Bärenpark,7.30
358,So Clover!,7.59
431,Sword & Sorcery,7.91
432,Santa Maria,7.48
508,Black Rose Wars,7.98
509,Forbidden Desert,7.08
189,Sekigahara: The Unification of Japan,8.01
190,Castles of Mad King Ludwig,7.52
359,Letters from Whitechapel,7.35
360,Dixit,7.21
433,Nippon,7.64
434,Clash of Cultures,7.58
510,Descent: Journeys in the Dark,7.28
511,Hanabi,7.05
191,Sagrada,7.48
192,The Resistance: Avalon,7.52
361,Imperium: Classics,7.71
362,Cloudspire,8.19
435,ISS Vanguard,8.68
436,Mythic Battles: Pantheon,8.34
512,Blood Bowl (Third Edition),7.55
513,Mansions of Madness,7.26
193,Dune,7.96
194,The Red Cathedral,7.73
363,Innovation,7.30
364,Harry Potter: Hogwarts Battle,7.38
437,Cubitos,7.44
514,Oceans,7.47
515,Distilled,7.92
195,Ora et Labora,7.69
365,Gizmos,7.39
438,Biblios,7.20
516,Great Western Trail: New Zealand,8.70
196,A Game of Thrones: The Board Game (Second Edition),7.54
366,Mysterium,7.23
439,Mindbug: First Contact,7.74
440,King of Tokyo: Dark Edition,7.69
517,Imperial Struggle,8.26
518,Friday,7.12
197,Ticket to Ride: Nordic Countries,7.63
367,Takenoko,7.22
368,Star Wars: Armada,7.82
441,Stockpile,7.47
442,Macao,7.41
519,Blood Bowl: Living Rulebook,7.84
520,Canvas,7.27
601,Pax Porfiriana,7.66
198,Star Wars: Outer Rim,7.73
199,Earth,7.73
369,Hannibal: Rome vs. Carthage,7.78
370,Raiders of Scythia,7.78
443,Chess,7.20
444,Fresco,7.25
521,Bohnanza,7.05
522,Potion Explosion,7.13
602,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.18
200,Meadow,7.77
371,Ghost Stories,7.27
372,Ginkgopolis,7.51
445,Wavelength,7.29
523,Betrayal Legacy,7.68
524,1775: Rebellion,7.64
603,Colosseum,7.21
604,Pax Renaissance: 2nd Edition,8.52
373,Agricola: All Creatures Big and Small,7.34
446,Advanced Squad Leader,8.01
447,Marvel United: X-Men,8.09
525,Undaunted: North Africa,7.84
526,Frostpunk: The Board Game,8.30
605,DVONN,7.45
606,Nexus Ops,7.21
374,Love Letter,7.52
375,The Resistance,7.22
448,Claustrophobia,7.48
449,Dune,7.59
450,Wayfarers of the South Tigris,7.85
527,"Labyrinth: The War on Terror, 2001 – ?",7.58
528,Akropolis,7.51
607,Broom Service,7.17
376,51st State: Master Set,7.60
377,Altiplano,7.47
451,Thunderstone Quest,7.78
452,Mice and Mystics,7.24
529,Raptor,7.25
530,Imhotep,7.15
608,Unfathomable,7.55
609,Carcassonne: Hunters and Gatherers,7.13
378,Furnace,7.42
379,Flamecraft,7.47
